#At time x allocated y bytes for process z from i to j
At time 3 allocated 30 bytes for process 1 from 0 to 31
At time 5 allocated 28 bytes for process 2 from 32 to 63
At time 7 deallocated 28 bytes for process 2 from 32 to 63
At time 11 allocated 16 bytes for process 3 from 64 to 79
At time 12 deallocated 16 bytes for process 3 from 64 to 79
At time 13 allocated 16 bytes for process 4 from 64 to 79
At time 17 allocated 16 bytes for process 5 from 80 to 95
At time 40 deallocated 30 bytes for process 1 from 0 to 31
At time 44 deallocated 16 bytes for process 4 from 64 to 79
At time 54 deallocated 16 bytes for process 5 from 80 to 95
